,coords,page_no,token,type
0,"[851, 1927, 894, 1948]",2,Une,word
1,"[902, 1927, 961, 1948]",2,lettre,word
2,"[972, 1927, 996, 1948]",2,de,word
3,"[1005, 1927, 1112, 1948]",2,Mahmoud,word
4,"[1124, 1927, 1187, 1948]",2,Pacha,word
5,"[853, 1961, 874, 1980]",2,Le,word
6,"[887, 1961, 948, 1980]",2,journal,word
7,"[957, 1961, 974, 1980]",2,le,word
8,"[980, 1961, 1063, 1980]",2,Mechveret,word
9,"[1069, 1961, 1122, 1980]",2,publie,word
10,"[1133, 1961, 1150, 1980]",2,la,word
11,"[1160, 1961, 1203, 1980]",2,lettre,word
12,"[832, 1982, 900, 2001]",2,suivante,word
13,"[909, 1982, 930, 2001]",2,qu,word
14,"[930, 1982, 934, 2001]",2,',word
15,"[934, 1982, 996, 2001]",2,adresse,word
16,"[1006, 1982, 1016, 2001]",2,à,word
17,"[1021, 1982, 1081, 2001]",2,Ahmed,word
18,"[1090, 1982, 1125, 2001]",2,Riza,word
19,"[1135, 1982, 1152, 2001]",2,le,word
20,"[1156, 1982, 1196, 2001]",2,beau,word
21,"[1196, 1982, 1203, 2001]",2,-,word
22,"[832, 2003, 869, 2022]",2,frère,word
23,"[879, 2003, 903, 2022]",2,du,word
24,"[909, 2003, 960, 2022]",2,sultan,word
25,"[961, 2003, 966, 2022]",2,",",word
26,"[974, 2003, 1057, 2022]",2,Mahmoud,word
27,"[1068, 2003, 1117, 2022]",2,Pacha,word
28,"[1124, 2003, 1130, 2022]",2,:,word
29,"[892, 2030, 934, 2049]",2,Paris,word
30,"[934, 2030, 939, 2049]",2,",",word
31,"[946, 2030, 994, 2049]",2,Grand,word
32,"[1001, 2030, 1043, 2049]",2,Hôtel,word
33,"[1042, 2030, 1047, 2049]",2,",",word
34,"[1054, 2030, 1074, 2049]",2,25,word
35,"[1079, 2030, 1151, 2049]",2,décembre,word
36,"[1158, 2030, 1197, 2049]",2,1899,word
37,"[1197, 2030, 1201, 2049]",2,",",word
38,"[908, 2049, 922, 2068]",2,A,word
39,"[927, 2049, 999, 2068]",2,Monsieur,word
40,"[1006, 2049, 1060, 2068]",2,Ahmed,word
41,"[1068, 2049, 1101, 2068]",2,Riza,word
42,"[1108, 2049, 1138, 2068]",2,Bey,word
43,"[1138, 2049, 1143, 2068]",2,",",word
44,"[851, 2069, 863, 2088]",2,Il,word
45,"[873, 2069, 899, 2088]",2,est,word
46,"[905, 2069, 956, 2088]",2,inutile,word
47,"[968, 2069, 989, 2088]",2,de,word
48,"[994, 2069, 1030, 2088]",2,vous,word
49,"[1037, 2069, 1107, 2088]",2,exprimer,word
50,"[1115, 2069, 1131, 2088]",2,la,word
51,"[1137, 2069, 1202, 2088]",2,profonde,word
52,"[832, 2087, 947, 2106]",2,reconnaissance,word
53,"[955, 2087, 988, 2106]",2,dont,word
54,"[1000, 2087, 1025, 2106]",2,est,word
55,"[1034, 2087, 1083, 2106]",2,pénétr,word
56,"[1082, 2087, 1091, 2106]",2,é,word
57,"[1103, 2087, 1153, 2106]",2,envers,word
58,"[1166, 2087, 1203, 2106]",2,vous,word
59,"[832, 2106, 886, 2125]",2,chaque,word
60,"[893, 2106, 960, 2125]",2,Ottoman,word
61,"[959, 2106, 964, 2125]",2,",",word
62,"[972, 2106, 1007, 2125]",2,pour,word
63,"[1015, 2106, 1035, 2125]",2,les,word
64,"[1042, 2106, 1071, 2125]",2,très,word
65,"[1078, 2106, 1133, 2125]",2,sérieux,word
66,"[1141, 2106, 1203, 2125]",2,services,word
67,"[832, 2125, 860, 2144]",2,que,word
68,"[864, 2125, 901, 2144]",2,vous,word
69,"[908, 2125, 929, 2144]",2,ne,word
70,"[936, 2125, 982, 2144]",2,cessez,word
71,"[989, 2125, 1007, 2144]",2,de,word
72,"[1013, 2125, 1064, 2144]",2,rendre,word
73,"[1072, 2125, 1082, 2144]",2,à,word
74,"[1086, 2125, 1102, 2144]",2,la,word
75,"[1106, 2125, 1149, 2144]",2,cause,word
76,"[1156, 2125, 1203, 2144]",2,sacrée,word
77,"[832, 2143, 850, 2162]",2,de,word
78,"[856, 2143, 896, 2162]",2,notre,word
79,"[903, 2143, 949, 2162]",2,patrie,word
80,"[949, 2143, 954, 2162]",2,.,word
