,Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Number of issues,"@TeamHistory, please express your interest 👇",Data Category for Data Sharing Agreement,Data Acquisition Batch,Data Transfer Batch (what has been transfered with hard disk),Extension of mit file,Impresso 1,Formula (if title in B was already in previous sheet),Question/Notes
1,24 Heures / FAL,24 Heures,1972,2012,12342,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,2,No,
222,Revues UNIL,Allez savoir!,1994,2023,85,medium,Category 1.5 - Orphan,Batch 3 – restricted,Bath 4 (08/25),,,No,
20,Journaux satiriques vaudois,Almanach Balthasar,1922,1926,4,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,3,Almanach Balthasar,
21,Journaux satiriques vaudois,Almanach de Chalamala,1911,1919,5,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,4,No,Dans la liste précédente: Almanach de Chalamanda? Il y avait une erreur à l'époque
5,Almanachs vaudois,Almanach de Lausanne,1674,1911,121,medium,Category 1.5 - Orphan,Batch 1.5,Not to include,,,No,
8,Annuaire vaudois,Almanach pour le commerce,1832,1832,1,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
2,24 Heures / FAL,Annonces et avis divers,1762,1764,12,no interest,no interest,no interest,Not to include,,2?,No,
9,Annuaire vaudois,Annuaire et indicateur vaudois,1951,1979,13,high,Category 1.5 - Orphan,Batch 3 – restricted,Not to include,,,No,
10,Annuaire vaudois,Annuaire vaudois,1990,1998,7,high,Category 1.5 - Orphan,Batch 3 – restricted,Not to include,,,No,
22,Journaux satiriques vaudois,Arrêtez-les tous !,1972,1972,1,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
91,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Aux quatre coins du Mont,1974,2022,282,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
226,Presse religieuse,Bonne nouvelle,2000,2016,158,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
