Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Data Transfer Batch (with hard disk),displayed_name_in_fs_lower,binary_name_in_fs,unicode_name_in_fs,alias
Gazettes suisses du 18e s.,Mercure suisse,1732,1747.0,Batch 1 (21/12/23),mercure_suisse,b'Mercure_suisse',Mercure_suisse,MS
Gazettes suisses du 18e s.,Nouvelliste suisse,1748,1769.0,Batch 1 (21/12/23),nouvelliste_suisse,b'Nouvelliste_suisse',Nouvelliste_suisse,NS
Gazettes suisses du 18e s.,Journal helvétique,1738,1782.0,Batch 1 (21/12/23),journal_helvétique,b'Journal_helv\xc3\xa9tique',Journal_helvÃ©tique,JH
Almanachs vaudois,Messager boîteux,1748,1800.0,Batch 1 (21/12/23),messager_boîteux,b'Messager_bo\xc3\xaeteux',Messager_boÃ®teux,MB
Nouvelliste vaudois,L'ami de la vérité: journal du Canton de Vaud,1822,1823.0,Batch 1 (21/12/23),l’ami_de_la_vérité__journal_du_canton_de_vaud,b'L\xe2\x80\x99ami_de_la_v\xc3\xa9rit\xc3\xa9__journal_du_Canton_de_Vaud',Lâami_de_la_vÃ©ritÃ©__journal_du_Canton_de_Vaud,LDLVJDCDV
Annuaire vaudois,Almanach pour le commerce,1832,1832.0,Batch 1 (21/12/23),almanach_pour_le_commerce,b'Almanach_pour_le_commerce',Almanach_pour_le_commerce,APLC
Journaux satiriques vaudois,Le Père Jérôme,1831,1832.0,Batch 1 (21/12/23),le_père_jérôme,b'Le_P\xc3\xa8re_J\xc3\xa9r\xc3\xb4me',Le_PÃ¨re_JÃ©rÃ´me,LPJ
Journaux satiriques vaudois,Le Charivari [1],1839,1841.0,Batch 1 (21/12/23),le_charivari_[1],b'Le_Charivari_[1]',Le_Charivari_[1],LC1
Presse de la Côte vaudoise,Le Phare de Nyon,1841,1841.0,Batch 1 (21/12/23),le_phare_de_nyon,b'Le_Phare_de_Nyon',Le_Phare_de_Nyon,LPDN
Presse de la Côte vaudoise,Le Phare du Léman,1841,1842.0,Batch 1 (21/12/23),le_phare_du_léman,b'Le_Phare_du_L\xc3\xa9man',Le_Phare_du_LÃ©man,LPDL
Presse du Nord vaudois,Journal d'Yverdon 2,1842,1843.0,Batch 1 (21/12/23),journal_d'yverdon_2,"b""Journal_d'Yverdon_2""",Journal_d'Yverdon_2,JD2
"Presse de la Broye, du Jorat et du Gros-de-Vaud",Feuille d'avis de Payerne,1843,1845.0,Batch 1 (21/12/23),feuille_d'avis_de_payerne,"b""Feuille_d'avis_de_Payerne""",Feuille_d'avis_de_Payerne,FDDP
Journaux satiriques vaudois,Le Grelot,1843,1846.0,Batch 1 (21/12/23),le_grelot,b'Le_Grelot',Le_Grelot,LG
Presse du Nord vaudois,Le Peuple souverain,1845,1846.0,Batch 1 (21/12/23),le_peuple_souverain,b'Le_peuple_souverain',Le_peuple_souverain,LPS
"Presse de la Broye, du Jorat et du Gros-de-Vaud","Feuille d'avis de Payerne, Moudon et Avenches",1852,1852.0,Batch 1 (21/12/23),"feuille_d'avis_de_payerne,_moudon_et_avenches","b""Feuille_d'avis_de_Payerne,_Moudon_et_Avenches""","Feuille_d'avis_de_Payerne,_Moudon_et_Avenches",FDDPMEA
Journaux satiriques vaudois,La Guêpe [1],1851,1854.0,Batch 1 (21/12/23),la_guêpe_[1],b'La_Gu\xc3\xaape_[1]',La_GuÃªpe_[1],LG1
"Presse de la Broye, du Jorat et du Gros-de-Vaud",Feuille d'avis de Moudon,1859,1859.0,Batch 1 (21/12/23),feuille_d'avis_de_moudon,"b""Feuille_d'avis_de_Moudon""",Feuille_d'avis_de_Moudon,FDDM
Presse de l'Est vaudois,L'Observateur du Léman,1865,1865.0,Batch 1 (21/12/23),l'observateur_du_léman,"b""L'Observateur_du_L\xc3\xa9man""",L'Observateur_du_LÃ©man,LDL
Journaux satiriques vaudois,La Griffe,1864,1866.0,Batch 1 (21/12/23),la_griffe,b'La_Griffe',La_Griffe,LG
Presse de la Côte vaudoise,Feuille d'avis de Nyon,1849,1867.0,Batch 1 (21/12/23),feuille_d'avis_de_nyon,"b""Feuille_d'avis_de_Nyon""",Feuille_d'avis_de_Nyon,FDDN
Presse du Nord vaudois,Gazette des Villages,1867,1868.0,Batch 1 (21/12/23),gazette_des_villages,,,GDV
Journaux satiriques vaudois,La Fronde,1872,1872.0,Batch 1 (21/12/23),la_fronde,b'La_Fronde',La_Fronde,LF
Journaux satiriques vaudois,Le Charivari [2],1875,1877.0,Batch 1 (21/12/23),le_charivari_[2],b'Le_Charivari_[2]',Le_Charivari_[2],LC1
Journaux satiriques vaudois,Castigat ridendo mores,1879,1880.0,Batch 1 (21/12/23),castigat_ridendo_mores,b'Castigat_ridendo_mores',Castigat_ridendo_mores,CRM
Journaux satiriques vaudois,Le Moniteur,1879,1880.0,Batch 1 (21/12/23),le_moniteur,b'Le_Moniteur',Le_Moniteur,LM
Presse de la Vallée de Joux,Le Messager,1879,1881.0,Batch 1 (21/12/23),le_messager,b'Le_messager',Le_messager,LM
Journaux satiriques vaudois,Le Ouistiti,1882,1882.0,Batch 1 (21/12/23),le_ouistiti,b'Le_Ouistiti',Le_Ouistiti,LO
Magazines illustrés vaudois,Le Touriste / La Suisse Illustrée,1866,1882.0,Batch 1 (21/12/23),le_touriste__la_suisse_illustrée,b'Le_Touriste__La_Suisse_illustr\xc3\xa9e',Le_Touriste__La_Suisse_illustrÃ©e,LT-LSI
Presse de l'Est vaudois,Journal de Vevey,1865,1882.0,Batch 1 (21/12/23),journal_de_vevey,b'Journal_de_Vevey',Journal_de_Vevey,JDV
Annuaire vaudois,Indicateur de Lausanne,1880,1886.0,Batch 1 (21/12/23),indicateur_de_lausanne,b'Indicateur_de_Lausanne',Indicateur_de_Lausanne,IDL
Presse de l'Est vaudois,Courrier du Léman,1882,1886.0,Batch 1 (21/12/23),courrier_du_léman,b'Courrier_du_L\xc3\xa9man',Courrier_du_LÃ©man,CDL
Journaux satiriques vaudois,Croquis vaudois,1884,1887.0,Batch 1 (21/12/23),croquis_vaudois,b'Croquis_vaudois',Croquis_vaudois,CV
Journaux satiriques vaudois,Le Moustique (Vevey),1887,1887.0,Batch 1 (21/12/23),le_moustique_(vevey),b'Le_Moustique_(Vevey)',Le_Moustique_(Vevey),LMV
Journaux satiriques vaudois,La Bombe,1889,1889.0,Batch 1 (21/12/23),la_bombe,b'La_Bombe',La_Bombe,LB
Presse de l'Est vaudois,Le Veveysan 1,1888,1889.0,Batch 1 (21/12/23),le_veveysan_1,b'Le_Veveysan_1',Le_Veveysan_1,LV1
Presse de la Côte vaudoise,L'Echo de Morges,1883,1892.0,Batch 1 (21/12/23),l'echo_de_morges,,,LDM
Presse de l'Est vaudois,Journal de Vevey et des étrangers,1891,1894.0,Batch 1 (21/12/23),journal_de_vevey_et_des_étrangers,b'Journal_de_vevey_et_des_\xc3\xa9trangers',Journal_de_vevey_et_des_Ã©trangers,JDVEDE
Journaux satiriques vaudois,La Guêpe [2],1887,1897.0,Batch 1 (21/12/23),la_guêpe_[2],b'La_Gu\xc3\xaape_[2]',La_GuÃªpe_[2],LG1
Journaux satiriques vaudois,La Cancoire,1898,1898.0,Batch 1 (21/12/23),la_cancoire,b'La_Cancoire',La_Cancoire,LC
Revue de Lausanne,La Revue agricole,1891,1898.0,Batch 1 (21/12/23),la_revue_agricole,b'La_revue_agricole',La_revue_agricole,LRA
