,,,,,,,,,,,,
,Normalized Working Title,Working title (BL),Variant Title,NLP,Alias (in file-syst or generated),Country,Start Year,End Year,Copy already shared with Impresso,Start year in Impresso local copy,End year in Impresso local copy,Notes about local copy
1,Aberdeen Press and Journal,Aberdeen Press and Journal,Aberdeen Journal and General Advertiser,0000031,ANJO,Scotland,1798,1876,"Yes, fully",1789,1876,
2,Aberdeen Press and Journal,Aberdeen Press and Journal,Aberdeen Weekly Journal and General Advertiser,0000032 ,ANJO,Scotland,1876,1900,"Yes, fully",1877,1900,There were some small problems in the filenaming and some files were copied across all leaf directories (eg 0929WO1_ANJO_1896_09_29-0005-021.xml in 0000032/1896/0918)
444,Alston Herald and East Cumberland Advertiser,Alston Herald and East Cumberland Advertiser,"Alston Herald, and East Cumberland Advertiser.",0003043,AHEC,England,1875,1879,"Yes, fully",1875,1879,Not separated in the data
492,Alston Herald and East Cumberland Advertiser,Alston Herald and East Cumberland Advertiser,"Alston Herald, and East Cumberland Advertiser",0003043,AHEC,England,1880,1880,"Yes, fully",1880,1880,Not separated in the data
369,Baldwin's London Weekly Journal,Baldwin's London Weekly Journal,"Baldwin's London Weekly Journal, etc",0002243,BLWJ,England,1803,1836,"Yes, fully",1803,1836,
69,Baner ac Amserau Cymru,Baner ac Amserau Cymru,Baner Cymru,0000036,BNER,Wales,1857,1859,"Yes, fully",1857,1859,
70,Baner ac Amserau Cymru,Baner ac Amserau Cymru,Baner ac Amserau Cymru,0000037,BNER,Wales,1860,1900,"Yes, fully",1860,1900,
494,Bargoed Journal,Bargoed Journal,Bargoed Journal,0003104,BGJO,Wales,1904,1912,"Yes, fully",1905,1912,
555,Bargoed Journal,Bargoed Journal,Bargoed Journal,0003104,BGJO,Wales,1904,1904,"Yes, fully",1904,1904,
560,Bargoed Journal,Bargoed Journal,"New Tredegar, Bargoed & Caerphilly Journal",0003548,BGJO,Wales,1904,1904,"Yes, fully",1904,1904,
496,Barnsley Telephone,Barnsley Telephone,Barnsley Telephone,0003041,BTEP,England,1918,1920,"Yes, fully",1918,1920,
71,Bell's Family Newspaper,Bell's Family Newspaper,Bell's Family Newspaper.,0002986,BFNP,England,1858,1858,"Yes, fully",1858,1858,
