,Title,ARK ID,Alias,start_year,end_year,DOCS
0,Abendland,cb32680789v,abendland,1925,1930,19
1,Armée coloniale (L'),cb327021687,armeecoloniale,1891,1892,59
2,Bulletin colonial,cb327173415,bulletincol,1836,1849,99
3,Bulletin de l'Office colonial,cb34378143c,bulletinoffcol,1908,1919,15
4,Bulletin de la Société de géographie et d'études coloniales de Marseille,cb37131292d,bsgecm,1902,1937,27
5,Bulletin de la Société des études coloniales et maritimes,cb32724358c,bsecm,1876,1904,20
6,Bulletin du comité de l'Afrique française,cb327272204,bcaf,1891,1908,27
7,Bulletin officiel du Comité France-Orient,cb32732353c,bocfo,1922,1940,78
8,Candide,cb32737062q,candide,1924,1944,1037
9,Ce Soir,cb32738400h,cesoir,1937,1953,3539
10,Ciné-Journal (Paris. 1908),cb32742299m,cinejournal,1908,1937,874
11,Combat (Paris. 1941),cb34501455d,combat,1941,1954,9376
12,Courrier maritime nord africain,cb32751516w,courriermarna,1927,1928,89
13,Demokratische Zeitung,cb34477322w,demokratischeztg,1919,1919,5
14,Die Vereinigten Staaten von Europa,cb32887413t,vsve,1868,1870,60
15,El Ouma,cb328306427,elouma,1931,1939,14
16,Europe-Colonies,cb32771225f,europecolonies,1923,1957,82
18,France libre (Paris. 1944),cb44498563s,francelibre,1944,1948,1190
19,France-Bohême,cb32777450n,franceboheme,1920,1927,39
20,France-Europe orientale,cb32777702m,franceeuropeor,1919,1925,101
21,France-Russie,cb327781475,francerussie,1924,1924,3
22,France-Yougoslavie,cb327782343,franceyougoslavie,1921,1923,18
23,France-soir (Paris. 1944),cb32778160c,francesoir,1944,1954,7574
24,Free Europe. Fortnightly review of international affairs,cb32778606z,freeeurope,1939,1946,47
25,Gringoire,cb32784069f,gringoire,1928,1944,786
26,International Herald Tribune,cb391150993,nyherald,1887,1935,17385
28,L'Action française (Paris. 1899),cb344295535,actionfrancaise1899,1906,1910,24
29,L'Action française (Paris. 1908),cb326819451,actionfrancaise1908,1908,1944,12934
30,L'Afrique (Paris. 1844),cb326834694,lafrique1844,1844,1845,76
31,L'Alsace française (Strasbourg),cb34440169p,alsacefrancaise,1921,1950,786
32,L'Aurore (Paris. 1943),cb34371852k,aurore1943,1943,1954,7301
33,L'Auto (Paris. 1900),cb327071375,lauto,1900,1944,16415
34,L'Echo d'Alger : journal républicain du matin,cb327596899,echoalger,1912,1954,16867
35,L'Echo d'Oran,cb32759772v,echoran,1845,1963,35224
36,"L'Europe artistique. Journal général des théâtres, de la musique, de la littérature et des beaux art",cb32771219h,europeartistique,1866,1867,3
37,L'Europe coloniale,cb327712243,europecoloniale,1904,1908,129
38,L'Europe d'abord. Organe de la Section française de la Ligue pour les Etats-Unis d'Europe,cb32771226s,europedabord,1933,1934,6
39,L'Europe danubienne,cb327712274,europedanubienne,1920,1920,1
40,L'Europe financière. Journal financier indépendant,cb32771243c,europefinanciere1,1909,1921,63
41,"L'Europe financière. Journal hebdomadaire littéraire, militaire, médical, artistique et théâtral",cb32771244q,europefinanciere2,1879,1881,19
42,"L'Europe future. Affaires extérieures, affaires coloniales internationales.",cb327712510,europefuture,1910,1910,14
43,L'Europe illustrée,cb32771252b,europeill,1874,1875,4
44,L'Europe illustrée. Revue pour le développement des relations européennes,cb32771253p,europeillrev,1927,1931,7
45,L'Europe industrielle et commerciale,cb32771256q,europeindcom,1888,1888,7
46,L'Europe nouvelle. Feuille du service de documentation (Paris),cb32771272z,europenouvelle,1918,1918,30
47,L'Europe orientale (Paris. 1919),cb32771280k,europeor1919,1919,1920,9
48,L'Europe orientale. Ancien journal La Roumanie.,cb32771279c,europeorroum,1875,1876,22
49,L'Europe. Journal quotidien,cb327712003,europejq,1879,1883,967
50,"L'Europe. Politique, scientifique, commerciale, industrielle et littéraire",cb32771204g,europepscil,1863,1865,407
51,L'Humanité,cb327877302,humanite,1904,1954,20669
52,"L'Ikdam : L'Islam, Le Rachidi",cb32788323x,ikdam,1919,1935,225
