alias,ark,issue_id,status,num_pages,pages_ok,page,error_category,classified,http_status,url_target,raw_error,timestamp
bulletincol,bpt6k6357584w,,failed,0,0,,date_parse,known,,,bpt6k6357584w: unparseable Date '1849' (time data '1849' does not match format '%Y-%m-%d').,2026-07-17T10:25:42.181186
bulletinoffcol,bpt6k6505631k,,failed,0,0,,date_parse,known,,,bpt6k6505631k: unparseable Date '1908' (time data '1908' does not match format '%Y-%m-%d').,2026-07-17T10:25:42.432468
bulletinoffcol,bpt6k64182864,,failed,0,0,,date_parse,known,,,bpt6k64182864: unparseable Date '1909' (time data '1909' does not match format '%Y-%m-%d').,2026-07-17T10:25:42.711449
bulletinoffcol,bpt6k6460684k,,failed,0,0,,date_parse,known,,,bpt6k6460684k: unparseable Date '1910' (time data '1910' does not match format '%Y-%m-%d').,2026-07-17T10:25:42.881544
bulletinoffcol,bpt6k6465476w,,failed,0,0,,date_parse,known,,,bpt6k6465476w: unparseable Date '1912' (time data '1912' does not match format '%Y-%m-%d').,2026-07-17T10:25:43.387345
bulletinoffcol,bpt6k6446747z,,failed,0,0,,date_parse,known,,,bpt6k6446747z: unparseable Date '1914' (time data '1914' does not match format '%Y-%m-%d').,2026-07-17T10:25:43.566412
bulletinoffcol,bpt6k6463830n,,failed,0,0,,date_parse,known,,,bpt6k6463830n: unparseable Date '1919' (time data '1919' does not match format '%Y-%m-%d').,2026-07-17T10:25:43.900059
bsgecm,bpt6k201227m,,failed,0,0,,date_parse,known,,,bpt6k201227m: unparseable Date '1903' (time data '1903' does not match format '%Y-%m-%d').,2026-07-17T10:25:44.148977
bsgecm,bpt6k2012280,,failed,0,0,,date_parse,known,,,bpt6k2012280: unparseable Date '1904' (time data '1904' does not match format '%Y-%m-%d').,2026-07-17T10:25:44.352717
bsgecm,bpt6k201229c,,failed,0,0,,date_parse,known,,,bpt6k201229c: unparseable Date '1905' (time data '1905' does not match format '%Y-%m-%d').,2026-07-17T10:25:44.571113
bsgecm,bpt6k2012309,,failed,0,0,,date_parse,known,,,bpt6k2012309: unparseable Date '1906' (time data '1906' does not match format '%Y-%m-%d').,2026-07-17T10:25:44.761129
bsgecm,bpt6k201231p,,failed,0,0,,date_parse,known,,,bpt6k201231p: unparseable Date '1907' (time data '1907' does not match format '%Y-%m-%d').,2026-07-17T10:25:44.951285
bsgecm,bpt6k2012322,,failed,0,0,,date_parse,known,,,bpt6k2012322: unparseable Date '1908' (time data '1908' does not match format '%Y-%m-%d').,2026-07-17T10:25:45.291852
bsgecm,bpt6k201233f,,failed,0,0,,date_parse,known,,,bpt6k201233f: unparseable Date '1909' (time data '1909' does not match format '%Y-%m-%d').,2026-07-17T10:25:45.513557
bsgecm,bpt6k201234t,,failed,0,0,,date_parse,known,,,bpt6k201234t: unparseable Date '1910' (time data '1910' does not match format '%Y-%m-%d').,2026-07-17T10:25:45.707638
bsgecm,bpt6k2012356,,failed,0,0,,date_parse,known,,,bpt6k2012356: unparseable Date '1911' (time data '1911' does not match format '%Y-%m-%d').,2026-07-17T10:25:45.884753
bsgecm,bpt6k201236k,,failed,0,0,,date_parse,known,,,bpt6k201236k: unparseable Date '1912' (time data '1912' does not match format '%Y-%m-%d').,2026-07-17T10:25:46.353120
bsgecm,bpt6k201237z,,failed,0,0,,date_parse,known,,,bpt6k201237z: unparseable Date '1913' (time data '1913' does not match format '%Y-%m-%d').,2026-07-17T10:25:46.646880
bsgecm,bpt6k201238b,,failed,0,0,,date_parse,known,,,bpt6k201238b: unparseable Date '1914' (time data '1914' does not match format '%Y-%m-%d').,2026-07-17T10:25:46.793592
bsgecm,bpt6k201239q,,failed,0,0,,date_parse,known,,,bpt6k201239q: unparseable Date '1915' (time data '1915' does not match format '%Y-%m-%d').,2026-07-17T10:25:46.960562
