alias	ark_id	local_path
petitepresse	bpt6k4712330j	BNF/petitepresse/1885/02/28/b
petitepresse	bpt6k4712358m	BNF/petitepresse/1885/05/02/b
petitepresse	bpt6k4712286k	BNF/petitepresse/1885/05/18/a
petitepresse	bpt6k47123613	BNF/petitepresse/1885/05/05/b
petitepresse	bpt6k4712364b	BNF/petitepresse/1885/05/20/b
petitepresse	bpt6k4712365r	BNF/petitepresse/1885/05/23/b
petitepresse	bpt6k4712295j	BNF/petitepresse/1885/05/27/a
petitepresse	bpt6k4712296z	BNF/petitepresse/1885/05/28/a
petitepresse	bpt6k4712360p	BNF/petitepresse/1885/05/04/b
petitepresse	bpt6k47123576	BNF/petitepresse/1885/05/01/b
petitepresse	bpt6k4712298s	BNF/petitepresse/1885/05/30/a
petitepresse	bpt6k4712274c	BNF/petitepresse/1885/05/06/a
petitepresse	bpt6k47123591	BNF/petitepresse/1885/05/03/b
petitepresse	bpt6k47123680	BNF/petitepresse/1885/05/29/b
petitepresse	bpt6k47122551	BNF/petitepresse/1885/04/17/a
petitepresse	bpt6k4712263k	BNF/petitepresse/1885/04/25/a
petitepresse	bpt6k47123487	BNF/petitepresse/1885/04/18/b
petitepresse	bpt6k4712349n	BNF/petitepresse/1885/04/20/b
petitepresse	bpt6k4712261r	BNF/petitepresse/1885/04/23/a
petitepresse	bpt6k4712344k	BNF/petitepresse/1885/04/14/b
petitepresse	bpt6k47122462	BNF/petitepresse/1885/04/08/a
petitepresse	bpt6k4712265d	BNF/petitepresse/1885/04/27/a
petitepresse	bpt6k4712341b	BNF/petitepresse/1885/04/11/b
petitepresse	bpt6k47122536	BNF/petitepresse/1885/04/15/a
petitepresse	bpt6k4712354z	BNF/petitepresse/1885/04/28/b
petitepresse	bpt6k4712251c	BNF/petitepresse/1885/04/13/a
petitepresse	bpt6k4712242d	BNF/petitepresse/1885/04/04/a
petitepresse	bpt6k4712333s	BNF/petitepresse/1885/04/01/b
petitepresse	bpt6k4712268n	BNF/petitepresse/1885/04/30/a
petitepresse	bpt6k4712247g	BNF/petitepresse/1885/04/09/a
petitepresse	bpt6k4712250z	BNF/petitepresse/1885/04/12/a
petitepresse	bpt6k4712346d	BNF/petitepresse/1885/04/16/b
petitepresse	bpt6k47122447	BNF/petitepresse/1885/04/06/a
petitepresse	bpt6k47122410	BNF/petitepresse/1885/04/03/a
petitepresse	bpt6k47123509	BNF/petitepresse/1885/04/22/b
petitepresse	bpt6k4712340x	BNF/petitepresse/1885/04/10/b
petitepresse	bpt6k47122677	BNF/petitepresse/1885/04/29/a
petitepresse	bpt6k4712337f	BNF/petitepresse/1885/04/07/b
petitepresse	bpt6k4712324t	BNF/petitepresse/1885/06/25/a
petitepresse	bpt6k4712374q	BNF/petitepresse/1885/06/18/b
petitepresse	bpt6k4712323d	BNF/petitepresse/1885/06/24/a
petitepresse	bpt6k4712371g	BNF/petitepresse/1885/06/05/b
petitepresse	bpt6k47123754	BNF/petitepresse/1885/06/20/b
petitepresse	bpt6k47123220	BNF/petitepresse/1885/06/23/a
petitepresse	bpt6k4712326n	BNF/petitepresse/1885/06/27/a
petitepresse	bpt6k47123739	BNF/petitepresse/1885/06/11/b
petitepresse	bpt6k4712300d	BNF/petitepresse/1885/06/01/a
petitepresse	bpt6k47123828	BNF/petitepresse/1885/06/30/b
petitepresse	bpt6k4712376j	BNF/petitepresse/1885/06/22/b
petitepresse	bpt6k4712381v	BNF/petitepresse/1885/06/29/b
petitepresse	bpt6k4712306w	BNF/petitepresse/1885/06/07/a
petitepresse	bpt6k4712331z	BNF/petitepresse/1885/03/30/b
petitepresse	bpt6k4712238h	BNF/petitepresse/1885/03/31/a
petitepresse	bpt6k4735627k	BNF/petitepresse/1885/07/17/b
petitepresse	bpt6k47123969	BNF/petitepresse/1885/07/25/a
petitepresse	bpt6k4712395w	BNF/petitepresse/1885/07/24/a
petitepresse	bpt6k47123917	BNF/petitepresse/1885/07/14/a
petitepresse	bpt6k4735618m	BNF/petitepresse/1885/07/08/b
petitepresse	bpt6k4735623x	BNF/petitepresse/1885/07/13/b
petitepresse	bpt6k4735614z	BNF/petitepresse/1885/07/04/b
petitepresse	bpt6k4735611q	BNF/petitepresse/1885/07/01/b
petitepresse	bpt6k47356191	BNF/petitepresse/1885/07/09/b
petitepresse	bpt6k4735622h	BNF/petitepresse/1885/07/12/b
petitepresse	bpt6k4712392n	BNF/petitepresse/1885/07/16/a
petitepresse	bpt6k4735636j	BNF/petitepresse/1885/07/26/a
petitepresse	bpt6k47123843	BNF/petitepresse/1885/07/03/a
petitepresse	bpt6k4735632w	BNF/petitepresse/1885/07/22/b
petitepresse	bpt6k4735620p	BNF/petitepresse/1885/07/10/b
petitepresse	bpt6k4718924r	BNF/petitepresse/1867/02/16/b
petitepresse	bpt6k47158358	BNF/petitepresse/1878/05/02/b
petitepresse	bpt6k47158373	BNF/petitepresse/1878/05/04/b
petitepresse	bpt6k47158054	BNF/petitepresse/1878/05/03/a
petitepresse	bpt6k4725786h	BNF/petitepresse/1880/02/19/b
petitepresse	bpt6k4725784p	BNF/petitepresse/1880/02/17/b
petitepresse	bpt6k4714984s	BNF/petitepresse/1880/02/02/a
petitepresse	bpt6k47150076	BNF/petitepresse/1880/02/25/a
petitepresse	bpt6k47257853	BNF/petitepresse/1880/02/18/b
petitepresse	bpt6k4725791t	BNF/petitepresse/1880/02/24/b
petitepresse	bpt6k4725788b	BNF/petitepresse/1880/02/21/b
petitepresse	bpt6k47149871	BNF/petitepresse/1880/02/05/a
petitepresse	bpt6k4725787x	BNF/petitepresse/1880/02/20/b
petitepresse	bpt6k4715005c	BNF/petitepresse/1880/02/23/a
petitepresse	bpt6k4725781f	BNF/petitepresse/1880/02/14/b
petitepresse	bpt6k4714990h	BNF/petitepresse/1880/02/08/a
petitepresse	bpt6k47150091	BNF/petitepresse/1880/02/27/a
petitepresse	bpt6k4714993r	BNF/petitepresse/1880/02/11/a
petitepresse	bpt6k4714997d	BNF/petitepresse/1880/02/15/a
petitepresse	bpt6k4725795g	BNF/petitepresse/1880/02/28/b
petitepresse	bpt6k47257801	BNF/petitepresse/1880/02/13/b
petitepresse	bpt6k47257712	BNF/petitepresse/1880/02/04/b
petitepresse	bpt6k4725768k	BNF/petitepresse/1880/02/01/c
petitepresse	bpt6k4715135v	BNF/petitepresse/1880/02/01/b
petitepresse	bpt6k47257764	BNF/petitepresse/1880/02/09/b
petitepresse	bpt6k4725779c	BNF/petitepresse/1880/02/12/b
petitepresse	bpt6k47257838	BNF/petitepresse/1880/02/16/b
petitepresse	bpt6k4714988f	BNF/petitepresse/1880/02/06/a
petitepresse	bpt6k4715008m	BNF/petitepresse/1880/02/26/a
petitepresse	bpt6k47149856	BNF/petitepresse/1880/02/03/a
petitepresse	bpt6k4715004z	BNF/petitepresse/1880/02/22/a
petitepresse	bpt6k4725777j	BNF/petitepresse/1880/02/10/b
petitepresse	bpt6k4725796w	BNF/petitepresse/1880/02/29/b
petitepresse	bpt6k47257749	BNF/petitepresse/1880/02/07/b
petitepresse	bpt6k4714970r	BNF/petitepresse/1880/01/19/a
petitepresse	bpt6k47257534	BNF/petitepresse/1880/01/17/b
petitepresse	bpt6k4725761p	BNF/petitepresse/1880/01/25/b
petitepresse	bpt6k47149693	BNF/petitepresse/1880/01/18/a
petitepresse	bpt6k47257608	BNF/petitepresse/1880/01/24/b
petitepresse	bpt6k4725757s	BNF/petitepresse/1880/01/21/b
petitepresse	bpt6k47149715	BNF/petitepresse/1880/01/20/a
petitepresse	bpt6k4714974d	BNF/petitepresse/1880/01/23/a
petitepresse	bpt6k47149782	BNF/petitepresse/1880/01/27/a
petitepresse	bpt6k47257519	BNF/petitepresse/1880/01/15/b
petitepresse	bpt6k4714979g	BNF/petitepresse/1880/01/28/a
petitepresse	bpt6k4714981j	BNF/petitepresse/1880/01/30/a
petitepresse	bpt6k47149678	BNF/petitepresse/1880/01/16/a
petitepresse	bpt6k4714977n	BNF/petitepresse/1880/01/26/a
petitepresse	bpt6k47257586	BNF/petitepresse/1880/01/22/b
petitepresse	bpt6k47149804	BNF/petitepresse/1880/01/29/a
petitepresse	bpt6k4714982z	BNF/petitepresse/1880/01/31/a
petitepresse	bpt6k4715030f	BNF/petitepresse/1880/03/19/a
petitepresse	bpt6k4725813z	BNF/petitepresse/1880/03/17/b
petitepresse	bpt6k4725798q	BNF/petitepresse/1880/03/02/b
petitepresse	bpt6k4725814c	BNF/petitepresse/1880/03/18/b
petitepresse	bpt6k47258203	BNF/petitepresse/1880/03/24/b
petitepresse	bpt6k4725817m	BNF/petitepresse/1880/03/21/b
petitepresse	bpt6k4725801r	BNF/petitepresse/1880/03/05/b
petitepresse	bpt6k47258166	BNF/petitepresse/1880/03/20/b
petitepresse	bpt6k4725819f	BNF/petitepresse/1880/03/23/b
petitepresse	bpt6k4725810q	BNF/petitepresse/1880/03/14/b
petitepresse	bpt6k47258040	BNF/petitepresse/1880/03/08/b
petitepresse	bpt6k47258077	BNF/petitepresse/1880/03/11/b
petitepresse	bpt6k47258114	BNF/petitepresse/1880/03/15/b
petitepresse	bpt6k47258092	BNF/petitepresse/1880/03/13/b
petitepresse	bpt6k4725800b	BNF/petitepresse/1880/03/04/b
petitepresse	bpt6k47257979	BNF/petitepresse/1880/03/01/b
petitepresse	bpt6k47150202	BNF/petitepresse/1880/03/09/a
petitepresse	bpt6k4725808n	BNF/petitepresse/1880/03/12/b
petitepresse	bpt6k4725812j	BNF/petitepresse/1880/03/16/b
petitepresse	bpt6k47258025	BNF/petitepresse/1880/03/06/b
petitepresse	bpt6k47257994	BNF/petitepresse/1880/03/03/b
petitepresse	bpt6k47258181	BNF/petitepresse/1880/03/22/b
petitepresse	bpt6k4725806t	BNF/petitepresse/1880/03/10/b
petitepresse	bpt6k4725803k	BNF/petitepresse/1880/03/07/b
petitepresse	bpt6k4726655x	BNF/petitepresse/1892/05/02/b
petitepresse	bpt6k47266266	BNF/petitepresse/1892/05/04/a
petitepresse	bpt6k4726625s	BNF/petitepresse/1892/05/03/a
petitepresse	bpt6k4724520r	BNF/petitepresse/1889/07/26/a
petitepresse	bpt6k4717438r	BNF/petitepresse/1866/12/31/a
petitepresse	bpt6k47260850	BNF/petitepresse/1893/05/02/a
petitepresse	bpt6k47261163	BNF/petitepresse/1893/05/04/b
petitepresse	bpt6k4726115p	BNF/petitepresse/1893/05/03/b
petitepresse	bpt6k4726304k	BNF/petitepresse/1893/12/13/a
petitepresse	bpt6k47138540	BNF/petitepresse/1883/01/01/a
petitepresse	bpt6k47247080	BNF/petitepresse/1890/02/02/a
petitepresse	bpt6k4724798d	BNF/petitepresse/1890/05/05/a
petitepresse	bpt6k4724976h	BNF/petitepresse/1890/11/01/a
petitepresse	bpt6k47249486	BNF/petitepresse/1890/04/04/b
petitepresse	bpt6k47249508	BNF/petitepresse/1890/06/06/b
petitepresse	bpt6k4724947s	BNF/petitepresse/1890/03/03/b
petitepresse	bpt6k47257215	BNF/petitepresse/1894/11/01/b
petitepresse	bpt6k4725571c	BNF/petitepresse/1894/06/28/b
petitepresse	bpt6k47283313	BNF/petitepresse/1906/01/12/a
petitepresse	bpt6k47192949	BNF/petitepresse/1906/12/10/a
petitepresse	bpt6k4716734t	BNF/petitepresse/1875/11/14/b
