Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD85000118	PH (Phono)	Le journal sonore de la semaine	Joseph GOEBBELS lit un texte d'Adolf HITLER sur l'annexion de la Tchécoslovaquie	15/03/1939	15/03/1939			"Déclaration ; "	"Politique ; "	00:03:46
PHD85000121	PH (Phono)	Radio journal de France	Léon Blum fait appel aux détenteurs de capitaux	17/07/1936	17/07/1936			"Journal parlé ; "		00:13:21
PHD85000672	PH (Phono)	La voix de Paris	Gaston HENRY-HAYE : les projets de la nouvelle municipalité de Versailles		20/10/1935			"Interview entretien ; Journal parlé ; "	"Tourisme ; "	00:02:27
PHD85000963	PH (Phono)	Radio journal de France	Maurice BOURDET : lecture des informations du jour	07/01/1936	07/01/1936			"Journal parlé ; Papier ; "	"Information ; "	00:05:57
PHD85001640	PH (Phono)	Radio journal de France	Appel à la nation de Jules ROMAINS	30/10/1938	30/10/1938			"Déclaration ; Journal parlé ; "	"Littérature ; Politique ; "	00:25:00
PHD85001684	PH (Phono)	Radio journal de France	150ème anniversaire de la Révolution française : discours de Jean Zay au palais de Chaillot	23/06/1939	23/06/1939			"Déclaration ; Reportage ; "	"Histoire ; "	00:17:32
PHD85006308	PH (Phono)	Radio journal de France	Camille CHAUTEMPS : le code de la paix sociale	27/01/1938	27/01/1938			"Déclaration ; Journal parlé ; "	"Information ; "	00:17:07
PHD85007899	PH (Phono)	Radio journal de France	Edouard DALADIER appelle les Français à l'effort	21/08/1938	21/08/1938			"Déclaration ; Journal parlé ; "	"Information ; Politique ; "	00:16:27
PHD85007938	PH (Phono)	Radio journal de France	150ème anniversaire de la Révolution française : réponses au discours de Albert LEBRUN	14/07/1939	14/07/1939			"Causerie ; "	"Information ; "	00:13:00
PHD85010248	PH (Phono)	Le journal sonore de la semaine	"Serge LIFAR parle du ballet ""Oriane et le Prince d'Amour"""	10/01/1938	07/01/1938			"Journal parlé ; "		00:01:33
PHD85010249	PH (Phono)	Le journal sonore de la semaine	Meeting contre l'augmentation des taxes sur l'essence		10/01/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:01:17
PHD85010250	PH (Phono)	Le journal sonore de la semaine	"ALIBERT au Théâtre des Variétés dans ""Un de la Canebière"""	10/01/1938	09/01/1938			"Bruitage image sonore ; Interview entretien ; Journal parlé ; Reportage ; "	"Spectacle ; "	00:01:33
PHD85010251	PH (Phono)	Le journal sonore de la semaine	Exposition d'art belge à Paris		10/01/1938			"Journal parlé ; Reportage ; "	"Beaux arts ; "	00:01:40
PHD85010252	PH (Phono)	Le journal sonore de la semaine	Remise d'un fanion d'honneur au général GOURAUD	10/01/1938	09/01/1938			"Bruitage image sonore ; Journal parlé ; Reportage ; "	"Politique ; "	00:03:03
PHD85010254	PH (Phono)	Le journal sonore de la semaine	Discours de réception de Léon Bérard à l'Académie française	03/03/1938	02/03/1938			"Déclaration ; Journal parlé ; "	"Littérature ; "	00:01:00
PHD85010257	PH (Phono)	Le journal sonore de la semaine	Le nouveau ministère de la propagande	28/03/1938	28/03/1938			"Déclaration ; Journal parlé ; "	"Politique ; "	00:00:59
PHD85010258	PH (Phono)	Le journal sonore de la semaine	La Suède remet un fanion au 4ème régiment d'infanterie		28/03/1938			"Bruitage image sonore ; Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:05:56
PHD85010259	PH (Phono)	Le journal sonore de la semaine	Tour de chant de Lys GAUTY	28/03/1938	28/03/1938			"Interview entretien ; Journal parlé ; Reportage ; "	"Variétés ; "	00:03:28
PHD85010260	PH (Phono)	Le journal sonore de la semaine	Louis LUMIERE durant le banquet réalisé pour sa retraite		04/04/1938			"Journal parlé ; "		00:01:03
PHD85010261	PH (Phono)	Le journal sonore de la semaine	Aux Invalides : remises de décorations aux poilus d'Orient		04/04/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:03:25
PHD85010262	PH (Phono)	Le journal sonore de la semaine	Discours d'Edouard Daladier à Alger		06/01/1939			"Déclaration ; Journal parlé ; "	"Politique ; "	00:02:25
PHD85010263	PH (Phono)	Le journal sonore de la semaine	Arrivée du président du conseil DALADIER à Ajaccio		02/01/1939			"Journal parlé ; Reportage ; "	"Politique ; "	00:01:03
PHD85010274	PH (Phono)	Le journal sonore de la semaine	50ème anniversaire de l'élection du professeur DARSONVAL à l'académie de médecine		13/06/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Médecine santé ; Sciences ; "	00:01:26
PHD85010275	PH (Phono)	Le journal sonore de la semaine	Les souverains britanniques sont attendus à Paris	13/06/1938	13/06/1938			"Déclaration ; Journal parlé ; "	"Politique ; "	00:01:38
PHD85010276	PH (Phono)	Le journal sonore de la semaine	André MAUROIS : déclaration sur la visite de Georges VI et Elisabeth	20/06/1938	20/06/1938			"Déclaration ; Journal parlé ; "	"Information ; "	00:03:11
PHD85010277	PH (Phono)	Le journal sonore de la semaine	Edmée FAVART nommée chevalier de la Légion d'Honneur	20/06/1938	18/06/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Musique ; "	00:08:29
PHD85010278	PH (Phono)	Le journal sonore de la semaine	André MAUROIS est élu à l'Académie française	27/06/1938	01/06/1938			"Interview entretien ; Journal parlé ; Reportage ; "	"Littérature ; "	00:01:42
PHD85010279	PH (Phono)	Le journal sonore de la semaine	"André de FOUQUIERES présente le ""Bal des bijoux"" Théâtre Marigny"	27/06/1938	27/06/1938			"Journal parlé ; Reportage ; "	"Théâtre ; "	00:01:56
