Type de notice	Titre propre-Titre collection-date de diffusion-Chaine de diffusion-Heure de diffusion-Notice-Date de diffusion	Identifiant notice	Fichier source	Nom du fichier	TC IN	TC OUT	Format	Répertoire	Chemin
EMISSION RAD.	Titre: L'Automobile en Europe - Titre collection:C'est en France  c'est en Europe - Date:06/10/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00172961 06/10/1996	172961	96F04705SA0005_01.MP3	00172961_96F04705SA0005_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Le dimanche des Europeens - Titre collection:C'est en France  c'est en Europe - Date:08/09/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00165368 08/09/1996	165368	96F04705SA0001_01.MP3	00165368_96F04705SA0001_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Enseignement  education  chomage et emploi - Titre collection:C'est en France  c'est en Europe - Date:15/09/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00167288 15/09/1996	167288	96F04705SA0002_01.MP3	00167288_96F04705SA0002_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Le service militaire - Titre collection:C'est en France  c'est en Europe - Date:22/09/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00169364 22/09/1996	169364	96F04705SA0003_01.MP3	00169364_96F04705SA0003_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: L'amour en Europe - Titre collection:C'est en France  c'est en Europe - Date:29/09/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00171017 29/09/1996	171017	96F04705SA0004_01.MP3	00171017_96F04705SA0004_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: L'Espagne au sein de l'Union Europeenne - Titre collection:C'est en France  c'est en Europe - Date:13/10/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00175455 13/10/1996	175455	96F04705SA0006_01.MP3	00175455_96F04705SA0006_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: La monnaie unique - Titre collection:C'est en France  c'est en Europe - Date:27/10/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00179637 27/10/1996	179637	96F04705SA0008_01.MP3	00179637_96F04705SA0008_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Les pays de l'Union Europeenne face a l'emigration - Titre collection:C'est en France  c'est en Europe - Date:20/10/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00177555 20/10/1996	177555	96F04705SA0007_01.MP3	00177555_96F04705SA0007_01_0_552801_EXPORT.MP3	00:00:00:00	00:55:28:01	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Pourquoi l'Europe  geant economique est toujours un nain politique ? - Titre collection:C'est en France  c'est en Europe - Date:03/11/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00181541 03/11/1996	181541	96F04705SA0009_01.MP3	00181541_96F04705SA0009_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
EMISSION RAD.	Titre: Les Medicaments - Titre collection:C'est en France  c'est en Europe - Date:10/11/1996 - Chaine:Radio France - Heure:12:05:00 comment= notice 00183326 10/11/1996	183326	96F04705SA0010_01.MP3	00183326_96F04705SA0010_01___EXPORT.MP3	:::	:::	FVISIO	Construction européenne	iMPRESSO\Construction_europeenne
