,issue_id,date,local_path,extension,notice,xml_filepath,issue_title,collection_title,radio_channel,broadcast_time
0,InterSoir-1995-01-01-a,01/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000090_95F05001H1900SA0001_01_0_0_EXPORT.MP3'],MP3,00000090,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000090_95F05001H1900SA0001_01_0_0_EXPORT.json'],Inter soir 19H00 du 1er janvier 1995,Inter soir 19h00,Radio France,19:00:00
1,InterSoir-1995-01-01-b,01/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000090_95F05001SA0001_01___EXPORT.MP3'],MP3,00000090,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000090_95F05001SA0001_01___EXPORT.json'],Inter soir 19H00 du 1er janvier 1995,Inter soir 19h00,Radio France,19:00:00
2,InterSoir-1995-01-02-a,02/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000217_95F05001SA0002_01___EXPORT.MP3'],MP3,00000217,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000217_95F05001SA0002_01___EXPORT.json'],Inter soir 19H00 du 02 janvier 1995,Inter soir 19h00,Radio France,19:00:00
3,InterSoir-1995-01-02-b,02/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000217_95F05001H1900SA0002_01_1900_202200_EXPORT.MP3'],MP3,00000217,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000217_95F05001H1900SA0002_01_1900_202200_EXPORT.json'],Inter soir 19H00 du 02 janvier 1995,Inter soir 19h00,Radio France,19:00:00
4,TelSonne-1995-01-02-a,02/01/1995,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/00000218_95F05001SA0002_01___EXPORT.MP3""]",MP3,00000218,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/00000218_95F05001SA0002_01___EXPORT.json""]",EDUCATION : LACHEZ LEUR LES BASKETS !,Le telephone sonne,Radio France,19:20:00
5,InterSoir-1995-01-03-a,03/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000345_95F05001SA0003_01___EXPORT.MP3'],MP3,00000345,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000345_95F05001SA0003_01___EXPORT.json'],Inter soir 19H00 du 03 janvier 1995,Inter soir 19h00,Radio France,19:00:00
6,InterSoir-1995-01-03-b,03/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000345_95F05001H1900SA0003_01___EXPORT.MP3'],MP3,00000345,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000345_95F05001H1900SA0003_01___EXPORT.json'],Inter soir 19H00 du 03 janvier 1995,Inter soir 19h00,Radio France,19:00:00
7,TelSonne-1995-01-03-a,03/01/1995,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/00000346_95F05001SA0003_01___EXPORT.MP3""]",MP3,00000346,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/00000346_95F05001SA0003_01___EXPORT.json""]",LE POUVOIR RUSSE MINE PAR LA CRISE DU CAUCASE,Le telephone sonne,Radio France,19:20:00
8,InterSoir-1995-01-04-a,04/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000471_95F05001SA0004_01___EXPORT.MP3'],MP3,00000471,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000471_95F05001SA0004_01___EXPORT.json'],Inter soir 19H00 du 04 janvier 1995,Inter soir 19h00,Radio France,19:00:00
9,InterSoir-1995-01-04-b,04/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000471_95F05001H1900SA0004_01___EXPORT.MP3'],MP3,00000471,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000471_95F05001H1900SA0004_01___EXPORT.json'],Inter soir 19H00 du 04 janvier 1995,Inter soir 19h00,Radio France,19:00:00
10,InterSoir-1995-01-05-a,05/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000597_95F05001H1900SA0005_01___EXPORT.MP3'],MP3,00000597,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000597_95F05001H1900SA0005_01___EXPORT.json'],Inter soir 19H00 du 05 janvier 1995,Inter soir 19h00,Radio France,19:00:00
11,InterSoir-1995-01-05-b,05/01/1995,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000597_95F05001SA0005_01___EXPORT.MP3'],MP3,00000597,['INA/Data/Journal_parle/15-_Inter_soir_ou_Inter_actualites_1990-_fin_juillet1997/00000597_95F05001SA0005_01___EXPORT.json'],Inter soir 19H00 du 05 janvier 1995,Inter soir 19h00,Radio France,19:00:00
